{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 2,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run2
Episode:  1 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.00 ; Trained episode: 0
Episode:  3 controlled agent:  1 ; Episode Return:  -443.0 ; win rate(controlled & opponent):  0.00 0.33 ; Trained episode: 0
Episode:  4 controlled agent:  1 ; Episode Return:  -354.0 ; win rate(controlled & opponent):  0.25 0.25 ; Trained episode: 0
Episode:  5 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.20 0.20 ; Trained episode: 1
Episode:  6 controlled agent:  1 ; Episode Return:  -302.0 ; win rate(controlled & opponent):  0.17 0.33 ; Trained episode: 1
Episode:  7 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.14 0.29 ; Trained episode: 1
Episode:  8 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.12 0.25 ; Trained episode: 1
Episode:  9 controlled agent:  1 ; Episode Return:  -176.0 ; win rate(controlled & opponent):  0.11 0.33 ; Trained episode: 1
Episode:  10 controlled agent:  1 ; Episode Return:  -132.0 ; win rate(controlled & opponent):  0.10 0.40 ; Trained episode: 1
Episode:  11 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.09 0.36 ; Trained episode: 1
Episode:  12 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.33 ; Trained episode: 1
Episode:  13 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.31 ; Trained episode: 1
Episode:  14 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.29 ; Trained episode: 1
Episode:  15 controlled agent:  1 ; Episode Return:  -328.0 ; win rate(controlled & opponent):  0.07 0.33 ; Trained episode: 1
Episode:  16 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.31 ; Trained episode: 1
Episode:  17 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.29 ; Trained episode: 1
Episode:  18 controlled agent:  1 ; Episode Return:  -345.0 ; win rate(controlled & opponent):  0.06 0.33 ; Trained episode: 1
Episode:  19 controlled agent:  1 ; Episode Return:  -147.0 ; win rate(controlled & opponent):  0.11 0.32 ; Trained episode: 1
