{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 5,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run5
Episode:  1 controlled agent:  1 ; Episode Return:  -333.0 ; win rate(coFntrolled & opponent):  1.00 0.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.50 0.00 ; Trained episode: 1
Episode:  3 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.33 0.00 ; Trained episode: 1
Episode:  4 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.25 0.00 ; Trained episode: 1
Episode:  5 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.20 0.00 ; Trained episode: 1
Episode:  6 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.17 0.00 ; Trained episode: 1
Episode:  7 controlled agent:  1 ; Episode Return:  -424.0 ; win rate(coFntrolled & opponent):  0.14 0.14 ; Trained episode: 1
Episode:  8 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.12 ; Trained episode: 1
Episode:  9 controlled agent:  1 ; Episode Return:  -195.0 ; win rate(coFntrolled & opponent):  0.11 0.22 ; Trained episode: 1
Episode:  10 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.20 ; Trained episode: 1
Episode:  11 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.18 ; Trained episode: 1
